posted,item_id,recommend,user_id,sentiment_analysis
"Posted November 5, 2011.",1250,True,76561197970982479,2
"Posted July 15, 2011.",22200,True,76561197970982479,2
"Posted April 21, 2011.",43110,True,76561197970982479,1
"Posted June 24, 2014.",251610,True,js41637,2
"Posted September 8, 2013.",227300,True,js41637,1
"Posted November 29, 2013.",239030,True,js41637,1
Posted February 3.,248820,True,evcentric,2
"Posted December 4, 2015.",370360,True,evcentric,2
"Posted November 3, 2014.",237930,True,evcentric,2
"Posted October 15, 2014.",263360,True,evcentric,0
"Posted October 15, 2014.",107200,True,evcentric,2
"Posted October 15, 2014.",224500,True,evcentric,2
"Posted October 14, 2013.",250320,True,doctr,2
"Posted July 28, 2012.",20920,True,doctr,2
"Posted June 2, 2012.",204100,True,doctr,2
"Posted June 29, 2014.",224600,True,doctr,2
"Posted November 22, 2012.",207610,True,doctr,0
"Posted February 23, 2012.",108710,True,doctr,2
"Posted April 15, 2014.",211420,True,maplemage,1
"Posted December 23, 2013.",211820,True,maplemage,1
"Posted March 14, 2014.",730,True,maplemage,2
"Posted July 11, 2013.",204300,True,maplemage,2
"Posted May 5, 2014.",249130,True,Wackky,0
"Posted December 24, 2012.",207610,True,Wackky,0
"Posted October 21, 2012.",550,True,Wackky,1
"Posted March 20, 2012.",65800,True,Wackky,0
"Posted March 9, 2012.",220,True,Wackky,2
Posted May 20.,730,True,76561198079601835,1
Posted July 24.,730,True,MeaTCompany,1
"Posted February 1, 2015.",72850,True,76561198089393905,0
"Posted June 20, 2014.",440,True,76561198089393905,1
Posted June 16.,252950,True,76561198156664158,2
Posted June 11.,440,True,76561198077246154,1
"Posted August 25, 2014.",304930,True,76561198077246154,1
"Posted December 25, 2013.",4000,True,WeiEDKrSat,1
"Posted June 23, 2012.",42910,True,thequeenpanda,1
"Posted September 5, 2015.",232090,True,death-hunter,1
"Posted March 30, 2015.",1250,True,death-hunter,2
"Posted February 19, 2014.",4000,True,death-hunter,2
"Posted July 14, 2014.",304930,True,DJKamBer,0
"Posted April 27, 2013.",570,True,DJKamBer,2
"Posted July 20, 2015.",218620,True,DJKamBer,2
"Posted November 4, 2013.",224260,True,DJKamBer,1
"Posted July 12, 2013.",1250,True,DJKamBer,2
"Posted August 19, 2012.",440,True,DJKamBer,1
"Posted June 19, 2015.",730,True,Rainbow-Dashie,2
"Posted September 20, 2014.",440,True,Rainbow-Dashie,2
