item_id,app_name,recommend,playtime_forever,genres
70,Half-Life,52,56884,53
2400,The Ship: Murder Party,21,10608,22
1520,DEFCON,5,17155,7
4000,Garry's Mod,1491,49464882,1533
2990,FlatOut 2™,6,5933,6
6550,Devil May Cry® 3 Special Edition,5,7894,6
2280,Ultimate Doom,7,11161,7
7670,BioShock™,62,52594,63
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",11,6505,11
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",11,52465,11
4760,Rome: Total War™ - Collection,16,62213,16
17480,Command & Conquer: Red Alert 3,11,34405,12
2700,RollerCoaster Tycoon® 3: Platinum,5,11933,5
15320,IL-2 Sturmovik: 1946,6,15875,7
15700,Oddworld: Abe's Oddysee®,16,4823,16
20510,S.T.A.L.K.E.R.: Clear Sky,7,8771,8
17300,Crysis,7,5985,9
20900,The Witcher: Enhanced Edition Director's Cut,19,33569,20
12200,Bully: Scholarship Edition,25,43482,25
19900,Far Cry® 2: Fortune's Edition,8,15039,12
9480,Saints Row 2,31,97585,34
17470,Dead Space,15,8766,15
17410,Mirror's Edge™,55,61461,60
24740,Burnout Paradise: The Ultimate Box,28,34527,30
10150,Prototype™,9,7411,9
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,17,64196,18
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,11,37058,11
6060,"Star Wars: Battlefront 2 (Classic, 2005)",80,164269,84
32370,STAR WARS™ - Knights of the Old Republic™,18,51666,20
38410,Fallout 2: A Post Nuclear Role Playing Game,8,19772,9
40700,Machinarium,7,3057,7
24840,Medal of Honor: Airborne,5,4712,5
41500,Torchlight,6,12889,6
10180,Call of Duty®: Modern Warfare® 2,77,133980,83
32440,LEGO® Star Wars™ - The Complete Saga,6,12616,6
11450,Overlord™,6,8524,6
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,5,7114,8
22370,Fallout 3: Game of the Year Edition,58,132843,60
45700,Devil May Cry 4,6,5087,6
17570,"Pirates, Vikings, and Knights II",10,43959,10
48700,Mount & Blade: Warband,171,3438061,173
12220,Grand Theft Auto: Episodes from Liberty City,8,26093,9
49600,Beat Hazard,18,8936,19
34010,Alpha Protocol™,5,6957,5
50130,Mafia II,36,72781,37
22600,Worms Reloaded,10,14082,10
42960,Victoria II,6,45955,7
70300,VVVVVV,11,6631,11
57300,Amnesia: The Dark Descent,38,39711,38
70400,Recettear: An Item Shop's Tale,10,20716,10
38600,Faerie Solitaire,5,4208,6
8930,Sid Meier's Civilization® V,284,4111109,290
50620,Darksiders™,6,9315,7
47790,Medal of Honor™,8,5592,12
22380,Fallout: New Vegas,151,1215839,156
42700,Call of Duty®: Black Ops,28,94530,30
12100,Grand Theft Auto III,7,11187,7
12120,Grand Theft Auto: San Andreas,27,66314,30
12110,Grand Theft Auto: Vice City,15,17657,15
47890,The Sims™ 3,20,154698,22
9930,Test Drive Unlimited 2,6,22367,7
63710,BIT.TRIP RUNNER,12,3053,15
39120,RIFT,21,114600,21
70000,Dino D-Day,50,98552,54
620,Portal 2,320,947685,323
91600,Sanctum,9,4946,9
98200,Frozen Synapse,5,12127,5
57900,Duke Nukem Forever,9,10668,10
99900,Spiral Knights,103,1190288,113
97000,Solar 2,6,3132,6
21100,F.E.A.R. 3,7,5362,10
65790,ARMA: Cold War Assault,6,38254,13
57690,Tropico 4,22,49577,22
55150,"Warhammer 40,000: Space Marine",8,22367,9
98400,Hard Reset Extended Edition,8,3472,8
35450,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,84,537826,87
9420,Supreme Commander: Forged Alliance,11,133748,11
113200,The Binding of Isaac,165,822751,168
71340,Sonic Generations Collection,9,24182,9
110800,L.A. Noire,12,20225,13
113400,APB Reloaded,68,1719811,84
35720,Trine 2: Complete Story,21,12091,21
204030,Fable - The Lost Chapters,11,16817,12
204340,Serious Sam 2,6,2097,9
9900,Star Trek Online,16,535044,22
203770,Crusader Kings II,49,1124812,51
108710,Alan Wake,22,25666,22
200210,Realm of the Mad God,164,2798122,187
207250,Cubemen,5,2689,5
204100,Max Payne 3,36,59196,39
212500,The Lord of the Rings Online™,13,289566,13
207080,Indie Game: The Movie,5,2770,5
212160,Vindictus,19,227955,22
17080,Tribes: Ascend,40,124252,42
730,Counter-Strike: Global Offensive,3119,142717922,3374
202170,Sleeping Dogs,46,122454,51
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,12,21771,12
200260,Batman: Arkham City - Game of the Year Edition,67,202288,67
206440,To the Moon,51,17280,51
205950,Jet Set Radio,6,4340,7
209670,Cortex Command,10,46392,11
215470,Primal Carnage,16,24002,20
219150,Hotline Miami,130,114990,130
209080,Guns of Icarus Online,69,310176,74
223470,POSTAL 2,77,85928,80
202970,Call of Duty®: Black Ops II,84,59028,96
212200,Mabinogi,5,49978,8
220440,DmC: Devil May Cry,15,32430,15
224820,Super House of Dead Ninjas,8,9007,8
220160,Trials Evolution: Gold Edition,8,18705,10
221040,Resident Evil 6 / Biohazard 6,14,25482,14
233470,Evoland,10,3176,12
233720,Surgeon Simulator,77,41301,83
227480,God Mode,7,5339,7
234710,Poker Night 2,27,26606,33
210770,Sanctum 2,33,47528,34
222730,Reus,12,7381,12
228300,Remember Me,10,8166,10
231740,Knights of Pen and Paper +1 Edition,5,3884,5
231430,Company of Heroes 2,65,1111114,71
237110,Mortal Kombat Komplete Edition,20,36235,24
239800,Bleed,9,3433,9
239660,Soldier Front 2,16,119422,18
39140,FINAL FANTASY VII,19,51142,19
234650,Shadowrun Returns,6,6853,6
223750,DCS World,8,18100,8
236390,War Thunder,217,4534006,252
244870,Electronic Super Joy,14,7855,14
226720,LOST PLANET® 3,5,2944,5
244710,Shelter,6,2059,6
203290,America's Army: Proving Grounds,12,100033,15
239820,Game Dev Tycoon,79,123133,79
238320,Outlast,75,53566,76
237740,Angry Video Game Nerd Adventures,6,3183,7
236450,PAC-MAN™ Championship Edition DX+,8,3407,8
249870,Scribblenauts Unmasked: A DC Comics Adventure,5,3183,6
220260,Farming Simulator 2013 Titanium Edition,12,43609,12
244930,SNOW,23,25711,26
221910,The Stanley Parable,82,39120,85
250320,The Wolf Among Us,52,41371,53
250500,Super Amazing Wagon Adventure,15,2518,15
238010,Deus Ex: Human Revolution - Director's Cut,25,52787,26
238430,Contagion,35,53582,44
252330,Slender: The Arrival,9,2715,10
241540,State of Decay,64,192664,71
219830,King Arthur's Gold,25,274068,25
248820,Risk of Rain,105,278665,110
251990,Long Live The Queen,12,7408,12
108600,Project Zomboid,40,85229,40
257750,Bloody Trapland,10,2771,11
242050,Assassin’s Creed® IV Black Flag™,37,175160,41
259530,Savant - Ascent,6,2361,6
109600,Neverwinter,32,215908,36
94400,Nidhogg,20,6563,23
222880,Insurgency,176,835713,190
269210,Hero Siege,15,29681,21
224480,Octodad: Dadliest Catch,32,28472,32
263300,BlazBlue: Calamity Trigger,7,2190,7
250180,METAL SLUG 3,13,5749,13
242920,Banished,52,117342,54
265610,Epic Battle Fantasy 4,9,19985,9
247000,Talisman: Digital Edition,9,14197,12
266010,LYNE,16,7586,16
233150,LUFTRAUSERS,8,2518,8
277430,Halo: Spartan Assault,13,4240,14
286340,FarSky,8,3949,9
286100,You Have to Win the Game,12,2089,13
225600,Blade Symphony,8,59889,10
265630,Fistful of Frags,110,110390,114
238460,BattleBlock Theater®,130,148474,133
244450,Men of War: Assault Squad 2,10,64391,13
248570,Toribash,64,166351,72
245620,Tropico 5,13,46113,16
242760,The Forest,168,333959,179
247730,Nether: Resurrected,36,79123,64
268750,Magicite,38,50517,40
230230,Divinity: Original Sin (Classic),15,63887,15
291480,Warface,44,150057,71
248310,Freedom Planet,7,13789,9
312990,The Expendabros,39,6051,39
286690,Metro 2033 Redux,7,5076,7
287390,Metro: Last Light Redux,19,18094,19
261760,Lichdom: Battlemage,6,3266,6
250400,How to Survive,22,14898,28
214190,Minimum,10,13832,16
288470,Fable Anniversary,11,18175,11
272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,9,11162,9
289130,Endless Legend™,19,56343,20
215080,WAKFU,6,51193,7
240760,Wasteland 2: Director's Cut,5,31046,6
241930,Middle-earth™: Shadow of Mordor™,78,164142,85
273110,Counter-Strike Nexon: Zombies,22,69586,47
268050,The Evil Within,7,12801,9
301970,Screencheat,6,2259,6
313160,Farming Simulator 15,18,148039,20
299740,Miscreated,8,29629,10
250900,The Binding of Isaac: Rebirth,135,1333543,135
298110,Far Cry® 4,26,82617,29
326480,If My Heart Had Wings,5,8887,5
318530,Wings of Vi,5,9070,5
270370,Lambda Wars Beta,10,10935,11
335670,LISA,6,7776,6
334230,Town of Salem,26,149893,26
311340,METAL GEAR SOLID V: GROUND ZEROES,18,18680,18
207140,SpeedRunners,65,159770,67
302830,BLOCKADE 3D,28,36683,45
244210,Assetto Corsa,13,163443,14
322170,Geometry Dash,68,440813,68
339800,HuniePop,33,42268,33
304240,Resident Evil / biohazard HD REMASTER,6,11763,6
313120,Stranded Deep,53,45395,59
266510,Hand of Fate,7,11865,7
346120,Boring Man - Online Tactical Stickman Combat,15,12951,15
287290,Resident Evil Revelations 2 / Biohazard Revelations 2,7,11693,9
244160,Homeworld Remastered Collection,8,13040,8
323470,DRAGON BALL XENOVERSE,25,133735,25
304030,ArcheAge,8,153882,13
346900,AdVenture Capitalist,111,356134,114
331200,Grass Simulator,7,4093,8
339610,Freestyle 2: Street Basketball,8,44924,12
335300,DARK SOULS™ II: Scholar of the First Sin,19,97009,21
355840,Survarium,12,32688,21
247080,Crypt of the NecroDancer,18,43916,18
365670,Blender,8,8051,8
323370,TERA,42,261684,44
363970,Clicker Heroes,79,1550206,84
226860,Galactic Civilizations III,6,53894,6
263060,Blockstorm,13,18763,14
339280,Strife®,8,9012,9
333980,AKIBA'S TRIP: Undead ＆ Undressed,6,7817,6
373180,Kung Fury: Street Rage,9,2667,9
284160,BeamNG.drive,12,59288,12
