app_name,item_id,playtime_forever,user_id,recommend,Sentiment_analysis
Mount & Blade: Warband,48700,25589.0,Deus_VuIt,True,2.0
The Lord of the Rings Online™,212500,10315.0,Deus_VuIt,True,1.0
Counter-Strike: Global Offensive,730,21358.0,Deus_VuIt,True,2.0
The Way of Life Free Edition,310370,11.0,Deus_VuIt,True,0.0
ARK: Survival Evolved,346110,10435.0,Deus_VuIt,True,1.0
IS Defense,448370,23.0,Deus_VuIt,True,2.0
Verdun,242860,889.0,Deus_VuIt,True,0.0
CaesarIA,327640,169.0,Deus_VuIt,True,2.0
Day of Defeat: Source,300,1151.0,Deus_VuIt,True,2.0
Ricochet,60,82.0,Deus_VuIt,True,2.0
Counter-Strike: Global Offensive,730,21352.0,76561198072949124,True,2.0
Sleeping Dogs,202170,1434.0,76561198072949124,True,2.0
Middle-earth™: Shadow of Mordor™,241930,1084.0,76561198072949124,True,2.0
Starbound,211820,3237.0,76561198072949124,True,2.0
Stardew Valley,413150,2263.0,76561198072949124,True,1.0
South Park™: The Stick of Truth™,213670,1009.0,76561198072949124,True,2.0
Gunpoint,206190,255.0,76561198072949124,True,2.0
XCOM: Enemy Unknown,200510,1216.0,76561198072949124,True,1.0
Borderlands 2,49520,2740.0,76561198072949124,True,2.0
Terraria,105600,14984.0,76561198072949124,True,0.0
Far Cry® 2: Fortune's Edition,19900,776.0,76561198064484479,True,2.0
Fallout: New Vegas,22380,15438.0,76561198064484479,True,2.0
Crypt of the NecroDancer,247080,2571.0,76561198064484479,True,2.0
Defiance,224600,6067.0,76561198064484479,True,2.0
Transistor,237930,93.0,76561198064484479,True,2.0
One Finger Death Punch,264200,722.0,76561198064484479,True,2.0
Spelunky,239350,2488.0,76561198064484479,True,2.0
Call of Juarez® Gunslinger,204450,557.0,76561198064484479,True,2.0
Awesomenauts - the 2D moba,204300,4827.0,76561198064484479,True,0.0
Dwarfs!?,35480,27.0,76561198064484479,True,0.0
3DMark,223850,59.0,asianturtlefrenzy,True,2.0
Endless Legend™,289130,3866.0,asianturtlefrenzy,True,2.0
RWBY: Grimm Eclipse,418340,118.0,asianturtlefrenzy,True,2.0
Mini Metro,287980,491.0,asianturtlefrenzy,True,2.0
Project CARS,234630,158.0,asianturtlefrenzy,True,2.0
